GEO_CODE,Total_households,Households_with_at_least_one_vars_or_vans,Per_cent_of_households_with_at_least_one_car_or_van
E02000355,3240,1382,0.42654321
E02000356,3144,1350,0.429389313
E02000357,2507,911,0.363382529
E02000358,4775,1557,0.326073298
E02000359,2416,1080,0.447019868
E02000360,4747,1437,0.302717506
E02000361,3467,970,0.27978079
E02000362,2634,1108,0.420652999
E02000363,4402,1357,0.308268969
E02000364,3899,1452,0.37240318
E02000365,5740,2017,0.351393728
E02000366,3690,1444,0.391327913
E02000367,4163,1525,0.366322364
E02000368,4028,1369,0.339870904
E02000369,5100,1578,0.309411765
E02000370,3768,1123,0.298036093
E02000371,5672,1353,0.238540197
E02000372,3674,1355,0.368807839
E02000373,2433,824,0.338676531
E02000374,2590,1277,0.493050193
E02000375,3230,1146,0.354798762
E02000376,3152,1157,0.367068528
E02000377,3613,1502,0.415721007
E02000378,3271,1183,0.3616631
E02000379,3190,1721,0.539498433
E02000380,2559,1348,0.526768269
E02000381,3583,1687,0.470834496
E02000382,2823,1349,0.477860432
E02000383,4456,1642,0.368491921
E02000384,3256,1105,0.339373464
E02000385,3094,1185,0.382999354
E02000386,3585,1241,0.346164575
E02000387,2841,1057,0.372052094
E02000388,3805,1529,0.401839685
E02000389,3452,1933,0.559965238
E02000390,2823,1413,0.50053135
E02000391,3419,1830,0.535244223
E02000392,4122,2004,0.486171761
E02000393,2650,1578,0.595471698
E02000394,3551,1791,0.504364968
E02000395,2719,1620,0.595807282
E02000396,2699,1589,0.588736569
E02000397,3376,1486,0.440165877
E02000398,2713,1116,0.411352746
E02000400,3061,1765,0.576608951
E02000401,2351,1244,0.529136538
E02000402,2469,1161,0.470230863
E02000403,2915,1291,0.442881647
E02000404,2640,1244,0.471212121
E02000405,2550,1911,0.749411765
E02000406,2665,1099,0.412382739
E02000407,2905,1062,0.365576592
E02000408,2689,1099,0.40870212
E02000409,2505,1111,0.443512974
E02000410,2839,1784,0.628390278
E02000411,2695,1213,0.450092764
E02000412,2873,1005,0.349808562
E02000413,2945,2020,0.685908319
E02000414,2562,1200,0.468384075
E02000415,2697,1146,0.424916574
E02000416,3463,1630,0.470690153
E02000417,2852,1775,0.622370266
E02000418,2235,1608,0.719463087
E02000419,3323,1264,0.380379175
E02000420,3050,1120,0.367213115
E02000421,2875,948,0.32973913
E02000422,2926,1227,0.419343814
E02000423,2516,969,0.385135135
E02000424,3088,1678,0.543393782
E02000425,2116,1035,0.489130435
E02000426,2882,1877,0.651283831
E02000427,2829,1088,0.384588194
E02000428,2758,1061,0.384699057
E02000429,3207,2070,0.64546305
E02000430,3462,1862,0.537839399
E02000431,3133,1725,0.550590488
E02000432,2879,1177,0.408822508
E02000433,3309,2586,0.781504986
E02000434,3138,2454,0.782026769
E02000435,2728,2212,0.81085044
E02000436,2080,1895,0.911057692
E02000437,3082,2419,0.784879948
E02000438,2990,2308,0.771906355
E02000439,2711,1946,0.717816304
E02000440,3087,2723,0.882086168
E02000441,2765,2139,0.773598553
E02000442,2532,2028,0.800947867
E02000443,3203,2110,0.658757415
E02000444,2682,2178,0.812080537
E02000445,3616,2387,0.660121681
E02000447,2453,2031,0.827965756
E02000448,2730,2213,0.810622711
E02000449,2531,1880,0.742789411
E02000451,2341,1976,0.844083725
E02000452,3039,1910,0.628496216
E02000453,2800,2024,0.722857143
E02000454,2550,2244,0.88
E02000455,3306,2016,0.609800363
E02000456,2512,1860,0.74044586
E02000457,2200,1793,0.815
E02000459,3159,2038,0.645140867
E02000460,2189,1543,0.704888077
E02000461,2556,2027,0.793035994
E02000462,2210,1562,0.70678733
E02000463,2788,2149,0.770803443
E02000464,2597,1825,0.702733924
E02000465,3256,2174,0.667690418
E02000466,3235,2522,0.779598145
E02000467,4087,2431,0.594812821
E02000468,3099,2493,0.804453049
E02000469,2664,1875,0.703828829
E02000470,3487,2787,0.799254373
E02000471,2961,2598,0.877406282
E02000472,3544,2877,0.811794582
E02000473,3841,3229,0.840666493
E02000474,3514,2622,0.746158224
E02000475,3933,3154,0.801932367
E02000476,4023,2296,0.570718369
E02000477,3725,3187,0.85557047
E02000478,2156,1970,0.913729128
E02000479,3529,2517,0.713233211
E02000480,3872,2874,0.742252066
E02000481,3254,2629,0.807928703
E02000482,2546,2187,0.858994501
E02000483,3423,2437,0.711948583
E02000484,3180,2674,0.840880503
E02000485,3375,2667,0.790222222
E02000486,3039,2382,0.783810464
E02000487,2970,2709,0.912121212
E02000488,2967,2468,0.83181665
E02000489,3155,2310,0.732171157
E02000490,3169,2399,0.757021142
E02000491,3603,2638,0.732167638
E02000492,2524,2140,0.847860539
E02000493,2471,1764,0.71388102
E02000494,3115,2678,0.859711075
E02000495,4141,3209,0.774933591
E02000496,3008,2515,0.836103723
E02000497,3440,2844,0.826744186
E02000498,2561,2123,0.828973057
E02000499,3001,2531,0.843385538
E02000500,3093,2592,0.838021339
E02000501,3163,2677,0.846348403
E02000502,3097,2502,0.807878592
E02000503,3235,2801,0.865842349
E02000504,2891,2551,0.882393635
E02000506,2725,2411,0.884770642
E02000507,2756,2337,0.84796807
E02000508,3075,2144,0.697235772
E02000509,3112,2022,0.649742931
E02000510,3196,2532,0.7922403
E02000511,3211,2619,0.815633759
E02000512,2968,2158,0.727088949
E02000513,3234,2195,0.678726036
E02000514,3044,2370,0.778580815
E02000515,4303,3032,0.70462468
E02000516,2764,2189,0.791968162
E02000517,2917,2061,0.706547823
E02000518,3099,2264,0.730558245
E02000519,2890,1917,0.663321799
E02000520,3645,2468,0.677091907
E02000521,3397,2461,0.724462761
E02000522,3269,2355,0.720403793
E02000523,2939,2232,0.759441987
E02000524,2462,1872,0.760357433
E02000525,3142,2187,0.696053469
E02000526,3536,2320,0.656108597
E02000528,4770,2763,0.579245283
E02000529,2776,2073,0.746757925
E02000530,2314,1449,0.626188418
E02000531,4269,2705,0.633637854
E02000532,4001,2752,0.687828043
E02000533,3835,2670,0.696219035
E02000534,2917,2350,0.805622215
E02000535,2852,2154,0.755259467
E02000536,2925,2154,0.736410256
E02000537,2841,2055,0.723336853
E02000538,2648,1919,0.724697885
E02000539,4299,3058,0.711328216
E02000540,3564,2165,0.607463524
E02000541,2846,1829,0.64265636
E02000542,3166,1803,0.569488313
E02000543,4170,2300,0.551558753
E02000544,2793,2267,0.811672037
E02000545,3299,2207,0.668990603
E02000546,3018,2169,0.718687873
E02000547,3547,2626,0.740343953
E02000548,3539,2564,0.724498446
E02000549,3937,2934,0.74523749
E02000550,3840,2553,0.66484375
E02000551,3294,2166,0.657559199
E02000552,3266,2611,0.799448867
E02000553,2605,1982,0.76084453
E02000554,4226,1514,0.3582584
E02000555,3986,1696,0.425489212
E02000556,4561,1593,0.349265512
E02000557,3929,1392,0.354288623
E02000558,3780,1118,0.295767196
E02000559,3882,1693,0.436115404
E02000560,3177,1034,0.325464274
E02000561,3413,1580,0.462935834
E02000562,3594,1429,0.397607123
E02000563,3652,1154,0.315991238
E02000564,5004,1546,0.308952838
E02000565,3610,1194,0.330747922
E02000566,3662,1586,0.433096668
E02000567,4937,1801,0.364796435
E02000568,4063,1245,0.306423825
E02000569,4745,1730,0.36459431
E02000570,4119,1857,0.450837582
E02000571,3777,1370,0.362721737
E02000572,3490,1044,0.299140401
E02000573,4204,1615,0.384157945
E02000574,3840,1188,0.309375
E02000575,5583,1578,0.28264374
E02000576,4322,1114,0.257751041
E02000577,3163,982,0.310464749
E02000578,2454,972,0.39608802
E02000579,4013,1796,0.447545477
E02000580,4517,1563,0.346026124
E02000581,3311,1127,0.34038055
E02000582,3946,1608,0.407501267
E02000583,3496,1812,0.518306636
E02000584,3922,1984,0.505864355
E02000585,3919,2052,0.52360296
E02000586,3729,1902,0.510056315
E02000587,3536,1710,0.483597285
E02000588,4458,2155,0.483400628
E02000589,4422,1685,0.381049299
E02000590,3890,1463,0.376092545
E02000591,3589,1141,0.317915854
E02000592,3583,1690,0.471671783
E02000593,4067,1586,0.389968035
E02000594,3710,2016,0.543396226
E02000595,3747,1978,0.527888978
E02000596,3605,1886,0.523162275
E02000597,3459,1446,0.418039896
E02000598,3001,2520,0.839720093
E02000599,2368,2122,0.896114865
E02000600,3354,2313,0.689624329
E02000601,4245,3005,0.707891637
E02000602,3997,2279,0.570177633
E02000603,2798,2051,0.733023588
E02000604,3343,2422,0.724498953
E02000605,3013,2366,0.785263857
E02000606,4799,3105,0.647009794
E02000607,2497,1883,0.754104926
E02000608,3182,1999,0.628221245
E02000609,2741,2235,0.815395841
E02000610,3785,2400,0.634081902
E02000611,2649,2346,0.885617214
E02000612,3051,2634,0.8633235
E02000613,3174,2452,0.77252678
E02000614,3072,2373,0.772460938
E02000615,2916,2427,0.832304527
E02000616,2363,2067,0.874735506
E02000617,3291,2643,0.803099362
E02000619,3743,1245,0.332620892
E02000620,4398,1519,0.345384266
E02000621,5083,1640,0.322644108
E02000622,3482,1261,0.362148191
E02000623,3409,1138,0.333822235
E02000624,3500,1210,0.345714286
E02000625,3383,1110,0.328111144
E02000626,3443,1116,0.324135928
E02000627,4042,1357,0.335724889
E02000628,3972,1159,0.291792548
E02000629,3973,1707,0.429650138
E02000630,3336,1539,0.461330935
E02000631,3723,1709,0.45903841
E02000632,4148,1624,0.391513983
E02000633,3872,1229,0.317407025
E02000634,3021,1124,0.372062231
E02000635,4066,1490,0.366453517
E02000636,3076,1844,0.599479844
E02000637,3935,1626,0.41321474
E02000638,4104,1624,0.395711501
E02000639,3398,1310,0.385520895
E02000640,3785,2120,0.56010568
E02000641,3442,1331,0.386693783
E02000642,4162,2141,0.514416146
E02000643,3589,1681,0.468375592
E02000644,3565,1906,0.534642356
E02000645,3870,2031,0.524806202
E02000646,3842,1961,0.510411244
E02000647,3444,2034,0.590592334
E02000648,3232,1488,0.46039604
E02000649,4887,2257,0.461837528
E02000650,3233,1629,0.503866378
E02000651,3492,1839,0.526632302
E02000652,2527,1574,0.622872972
E02000653,3547,1387,0.391034677
E02000654,3336,1228,0.368105516
E02000655,3366,1354,0.402257873
E02000657,3776,1454,0.385063559
E02000658,3538,1550,0.438100622
E02000659,3284,1814,0.552375152
E02000660,3659,1627,0.44465701
E02000661,3139,1741,0.554635234
E02000662,3317,1516,0.457039494
E02000663,2903,1446,0.498105408
E02000664,4452,1666,0.374213836
E02000665,3504,1878,0.535958904
E02000666,2859,1596,0.558237146
E02000667,2595,1633,0.629287091
E02000668,2816,1868,0.663352273
E02000669,3270,1683,0.514678899
E02000670,2748,1274,0.463609898
E02000671,3668,2020,0.550708833
E02000672,3509,1616,0.460530066
E02000673,3490,2034,0.582808023
E02000674,3020,1974,0.653642384
E02000675,3419,2341,0.68470313
E02000676,3252,1913,0.588253383
E02000677,2692,1804,0.67013373
E02000678,2432,1470,0.604440789
E02000679,3455,1817,0.525904486
E02000680,3016,1505,0.499005305
E02000681,3268,1892,0.578947368
E02000682,3095,1892,0.611308562
E02000683,2763,1545,0.55917481
E02000685,3357,1797,0.535299374
E02000686,2839,1400,0.493131384
E02000687,3436,1873,0.545110594
E02000689,3230,2304,0.713312693
E02000690,2300,1962,0.853043478
E02000691,2968,1872,0.630727763
E02000692,3686,2405,0.652468801
E02000693,3973,2265,0.570098163
E02000694,3828,2309,0.603187043
E02000695,2813,1913,0.680056879
E02000696,3185,1805,0.566718995
E02000697,3577,2161,0.604137545
E02000698,3146,2554,0.811824539
E02000699,3205,2260,0.705148206
E02000700,3367,1861,0.552717553
E02000701,3006,1926,0.640718563
E02000702,2964,1887,0.636639676
E02000703,2961,2304,0.778115502
E02000704,3409,2190,0.642417131
E02000705,2836,2138,0.753878702
E02000706,3259,1694,0.519791347
E02000707,2683,1797,0.669772643
E02000708,3011,2422,0.804383926
E02000709,2874,2397,0.834029228
E02000710,3208,2125,0.662406484
E02000711,3140,1978,0.629936306
E02000712,3328,2243,0.673978365
E02000713,2800,2341,0.836071429
E02000714,2733,1353,0.495060373
E02000715,2234,1020,0.456580125
E02000716,2320,1148,0.494827586
E02000717,2400,1139,0.474583333
E02000718,2210,1059,0.47918552
E02000719,2937,1287,0.438202247
E02000720,2220,1219,0.549099099
E02000721,2737,1238,0.452320058
E02000722,2943,1183,0.401970778
E02000723,2737,1405,0.513335769
E02000724,2434,1390,0.571076417
E02000725,3671,1239,0.337510215
E02000726,3666,1424,0.388434261
E02000727,2251,1039,0.461572634
E02000728,2237,1252,0.55967814
E02000729,2207,1142,0.517444495
E02000730,2443,1213,0.496520671
E02000731,2825,1271,0.449911504
E02000732,2326,989,0.425193465
E02000733,3465,1477,0.426262626
E02000734,2672,1094,0.409431138
E02000735,2355,962,0.408492569
E02000736,2574,1354,0.526029526
E02000737,3068,1664,0.542372881
E02000738,2563,1433,0.559110417
E02000739,2286,1018,0.445319335
E02000740,2556,1134,0.443661972
E02000741,2767,1363,0.492591254
E02000742,2498,1418,0.567654123
E02000743,2893,1152,0.398202558
E02000744,2942,1298,0.441196465
E02000745,2782,1673,0.601365924
E02000746,2574,1414,0.549339549
E02000747,4371,1874,0.428734843
E02000748,2230,1388,0.622421525
E02000749,3022,1490,0.49305096
E02000750,4370,2454,0.561556064
E02000751,4277,3633,0.849427169
E02000752,2864,1904,0.664804469
E02000753,2420,1792,0.740495868
E02000754,2607,1987,0.76217875
E02000755,2151,1727,0.80288238
E02000756,4966,3893,0.783930729
E02000757,4969,3728,0.75025156
E02000758,2159,1712,0.792959704
E02000759,4703,3549,0.754624708
E02000760,2613,1882,0.720244929
E02000762,2087,1688,0.808816483
E02000763,2385,1811,0.75932914
E02000764,5435,3688,0.678564857
E02000765,2190,1595,0.728310502
E02000767,2620,1940,0.740458015
E02000768,2240,1774,0.791964286
E02000769,5160,3730,0.722868217
E02000770,2425,1713,0.706391753
E02000772,2565,1752,0.683040936
