MSOA,White%,Mixed%,Asian%,Black%,Other%
E02006822,0.9652,0.0113,0.016,0.0043,0.0032
E02006830,0.9788,0.0091,0.0077,0.0027,0.0016
E02006831,0.9802,0.0085,0.0084,0.0022,0.0006
E02004779,0.9884,0.0055,0.0043,0.0006,0.0012
E02004780,0.9734,0.0105,0.0095,0.0028,0.0038
E02004781,0.9663,0.012,0.0168,0.0044,0.0005
E02004782,0.9702,0.0115,0.015,0.0031,0.0001
E02004783,0.979,0.0098,0.0074,0.0033,0.0006
E02004784,0.9859,0.0059,0.0054,0.0009,0.0019
E02004785,0.9769,0.0092,0.0097,0.0029,0.0013
E02004786,0.9492,0.0125,0.0116,0.021,0.0058
E02004787,0.9772,0.0064,0.0091,0.0027,0.0046
E02004788,0.9833,0.0076,0.0061,0.0013,0.0017
E02004789,0.9783,0.0094,0.0057,0.0035,0.0031
E02004790,0.9781,0.0078,0.0096,0.0017,0.0027
E02004791,0.9797,0.0104,0.0037,0.003,0.0032
E02004792,0.9765,0.0083,0.0064,0.0045,0.0043
E02004793,0.9734,0.009,0.0113,0.0034,0.003
E02004794,0.9803,0.0107,0.0064,0.002,0.0006
E02004795,0.9823,0.0068,0.007,0.0025,0.0014
E02004796,0.9867,0.0061,0.0039,0.0023,0.0009
E02004797,0.9745,0.0126,0.0116,0.0004,0.0009
E02004798,0.9638,0.0142,0.0148,0.0041,0.0031
E02004799,0.9515,0.0113,0.0269,0.0052,0.0052
E02004800,0.9789,0.0091,0.0091,0.0013,0.0015
E02004801,0.9833,0.0072,0.0075,0.0005,0.0016
E02004802,0.8329,0.0206,0.1294,0.0112,0.0058
E02004803,0.7419,0.0303,0.1985,0.0203,0.009
E02004804,0.9084,0.0151,0.0613,0.0133,0.0019
E02004805,0.9,0.0179,0.0679,0.0096,0.0046
E02004806,0.9194,0.0192,0.0475,0.0109,0.0031
E02004807,0.8732,0.021,0.0868,0.0149,0.0041
E02004808,0.8696,0.0278,0.0735,0.0227,0.0064
E02004809,0.6672,0.0221,0.2257,0.0668,0.0181
E02004810,0.8548,0.0268,0.0922,0.0191,0.0072
E02004811,0.83,0.0224,0.1246,0.0169,0.006
E02004812,0.8723,0.021,0.0921,0.0094,0.0053
E02004813,0.93,0.0156,0.0364,0.0137,0.0043
E02004814,0.9727,0.0101,0.0132,0.0023,0.0017
E02004815,0.952,0.0222,0.015,0.0081,0.0028
E02004816,0.9567,0.0161,0.0143,0.0072,0.0057
E02004817,0.9459,0.0171,0.0283,0.0066,0.0021
E02004818,0.9603,0.0153,0.019,0.0045,0.0009
E02004819,0.9587,0.013,0.0199,0.0053,0.003
E02004820,0.9775,0.0106,0.0071,0.0035,0.0014
E02004821,0.9843,0.0067,0.0055,0.0019,0.0015
E02004822,0.9791,0.0096,0.0077,0.0029,0.0006
E02004823,0.9719,0.0077,0.0153,0.0037,0.0014
E02004824,0.9583,0.0126,0.0219,0.0047,0.0026
E02004825,0.9659,0.0107,0.0171,0.0012,0.0051
E02004826,0.9662,0.0135,0.0148,0.0026,0.0028
E02004827,0.9139,0.013,0.0578,0.0052,0.0101
E02004828,0.9235,0.0123,0.0513,0.0022,0.0107
E02004829,0.9635,0.009,0.0186,0.0066,0.0023
E02004830,0.9662,0.0152,0.012,0.0052,0.0014
E02004831,0.9599,0.0102,0.0236,0.0031,0.0032
E02004832,0.9796,0.01,0.0083,0.0012,0.0009
E02004833,0.931,0.0207,0.0395,0.0065,0.0024
E02004834,0.9194,0.0189,0.0529,0.0054,0.0034
E02004835,0.9249,0.0222,0.0408,0.0065,0.0055
E02004836,0.9421,0.0148,0.0327,0.0068,0.0036
E02004837,0.9527,0.0173,0.023,0.0038,0.0032
E02004838,0.9669,0.0126,0.0156,0.0021,0.0029
E02004839,0.9766,0.0103,0.0094,0.0026,0.0011
E02004840,0.98,0.0097,0.0086,0.0011,0.0006
E02004841,0.9597,0.0137,0.0212,0.0036,0.0018
E02004842,0.9773,0.0084,0.0088,0.0023,0.0033
E02004996,0.9566,0.0137,0.018,0.0087,0.003
