MSOA Code,pop0-49,pop50-59,pop60-69,pop70-79,pop80-89,pop90+,total_pop
E02002718,3827,1246,1135,1083,589,79,7959
E02002719,3336,1063,795,610,424,107,6335
E02002720,4035,1198,1063,784,402,84,7566
E02002721,3247,1128,936,686,329,91,6417
E02002722,4259,1272,1414,1185,481,88,8699
E02002723,5395,1190,935,789,425,110,8844
E02002724,6663,1226,947,626,261,35,9758
E02002725,3520,1131,927,773,311,47,6709
E02006814,4501,1180,1102,886,395,72,8136
E02006891,3845,1283,1119,938,435,82,7702
E02006892,3402,949,778,765,362,125,6381
E02002726,6079,1464,1324,1077,441,103,10488
E02002727,3557,804,564,336,210,45,5516
E02002728,5324,1003,674,444,205,40,7690
E02002729,3256,911,762,623,221,30,5803
E02002730,5411,951,625,366,154,42,7549
E02002731,4482,732,480,244,109,17,6064
E02002732,4344,1247,1025,781,417,80,7894
E02002733,3396,856,675,500,276,45,5748
E02002734,3410,693,575,519,265,52,5514
E02002735,3142,747,566,340,210,40,5045
E02002736,4470,739,431,226,113,15,5994
E02002737,4141,1110,864,585,356,98,7154
E02002738,4098,1015,916,669,242,41,6981
E02002739,3349,823,727,531,347,51,5828
E02002740,3452,728,626,429,254,55,5544
E02002741,5485,1212,990,727,469,124,9007
E02002742,2843,792,804,732,373,48,5592
E02002743,2356,781,791,935,534,144,5541
E02002744,5054,852,735,390,169,34,7234
E02002745,3012,1276,1035,1219,559,116,7217
E02002746,5581,1351,1123,1020,564,124,9763
E02002747,4387,1371,1049,1102,538,100,8547
E02002748,3531,1302,1235,1056,571,155,7850
E02002749,6584,1720,1589,1196,489,92,11670
E02002750,3295,1104,899,692,265,53,6308
E02002751,3505,974,850,815,286,45,6475
E02002752,3728,1227,1076,719,304,43,7097
E02002753,4236,1289,1328,1117,585,105,8660
E02002754,4567,1398,1158,834,386,69,8412
E02002755,5401,1018,732,464,216,68,7899
E02002756,7331,1027,665,358,189,48,9618
E02002757,4133,836,637,500,288,76,6470
E02002758,4131,872,678,387,180,32,6280
E02002759,4722,1576,1432,1162,528,125,9545
E02002760,3273,968,781,568,261,82,5933
E02002761,3378,1165,890,739,353,64,6589
E02002762,4058,976,723,508,318,118,6701
E02002763,6131,1096,764,500,245,83,8819
E02002764,4112,735,554,410,189,37,6037
E02002765,3846,862,717,568,313,63,6369
E02002766,5350,1147,1066,919,443,124,9049
E02002767,3244,1031,994,861,389,83,6602
E02002768,3961,1262,1177,832,391,63,7686
E02002769,2526,1035,870,847,383,63,5724
E02002770,3733,1078,1035,815,330,66,7057
E02002771,3438,1270,1112,1000,399,73,7292
E02002772,4089,1128,807,622,253,72,6971
E02002773,2689,718,891,902,443,101,5744
E02002774,2940,835,934,794,441,155,6099
E02002775,2906,788,715,759,468,116,5752
E02002776,3950,966,726,748,418,64,6872
E02002777,5510,1295,907,570,198,28,8508
E02002778,4754,1304,915,809,495,130,8407
E02002779,5287,1423,1174,1085,638,116,9723
E02002780,6418,917,619,462,227,26,8669
E02002781,8907,1019,672,487,289,70,11444
E02002782,3351,936,731,748,498,110,6374
E02002783,6332,1478,1179,895,508,77,10469
E02002784,10161,1235,1011,674,326,68,13475
E02002785,5322,1037,781,687,497,81,8405
E02002786,9176,933,586,435,188,26,11344
E02002787,5972,1203,929,710,455,100,9369
E02002788,6311,1171,791,554,214,48,9089
E02002789,6283,1106,832,605,319,84,9229
E02002790,10137,1146,823,634,326,101,13167
E02002791,3331,974,795,855,405,119,6479
E02002792,4809,1069,835,625,362,101,7801
E02002793,5227,1290,1181,1066,460,118,9342
E02002794,7183,735,624,616,329,103,9590
E02002795,4061,1233,1246,1193,463,100,8296
E02002796,3217,886,739,778,357,70,6047
E02002797,3496,1022,905,1003,763,149,7338
E02002798,5610,1663,1179,728,305,82,9567
E02002799,4066,815,455,374,222,25,5957
E02002800,4175,962,708,672,419,140,7076
E02002801,4459,1065,754,698,427,70,7473
E02002802,5540,1024,680,455,241,42,7982
E02002803,6465,768,616,388,200,35,8472
E02002804,5720,1122,768,594,356,163,8723
E02002805,2589,844,701,881,412,53,5480
E02002806,4986,590,387,242,116,24,6345
E02002807,5276,1226,879,868,345,81,8675
E02002808,10608,1100,666,395,242,45,13056
E02002809,4011,917,674,663,305,111,6681
E02002810,4586,1225,1070,920,540,91,8432
E02002811,8846,1197,753,299,195,43,11333
E02002812,4674,1011,773,613,385,119,7575
E02002813,9398,1106,686,355,244,62,11851
E02002814,3431,1041,1054,857,489,128,7000
E02002815,6840,874,482,315,216,62,8789
E02002816,6123,1419,958,619,319,65,9503
E02002817,3579,845,752,600,380,76,6232
E02002818,6323,907,610,430,332,92,8694
E02002819,5094,1125,754,580,303,70,7926
E02002820,6694,1268,802,597,278,53,9692
E02002821,9189,1333,765,512,289,64,12152
E02002822,4031,908,678,541,397,65,6620
E02002823,4188,1061,777,858,397,58,7339
E02002824,6808,1145,947,615,223,53,9791
E02002825,5305,1103,852,803,385,132,8580
E02002826,4357,1129,681,473,246,35,6921
E02002827,4348,839,628,339,111,43,6308
E02002828,4748,965,1050,628,295,41,7727
E02002829,8122,1314,853,536,346,115,11286
E02002830,7447,1056,908,447,177,44,10079
